epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,38.1116,1.64747,1.11632,0.0036,0.70068,0.71467,0.75722,0.52681,1.19254,0.92723,0.00336,3.32485e-05,3.32485e-05,3.32485e-05
2,71.784,1.58057,1.03177,0.00342,0.68189,0.72288,0.75488,0.52476,1.18275,0.91736,0.00326,6.52635e-05,6.52635e-05,6.52635e-05
3,105.438,1.55919,1.0132,0.00329,0.68898,0.71885,0.75324,0.52375,1.17802,0.92923,0.00325,9.59585e-05,9.59585e-05,9.59585e-05
4,139.086,1.53235,0.99768,0.00325,0.68865,0.71231,0.75142,0.52268,1.17813,0.91981,0.00323,9.406e-05,9.406e-05,9.406e-05
5,172.799,1.53033,0.98974,0.00321,0.68807,0.7083,0.74851,0.52153,1.18072,0.91896,0.00326,9.208e-05,9.208e-05,9.208e-05
6,206.793,1.52298,0.98486,0.0032,0.70375,0.70993,0.755,0.52996,1.16647,0.89496,0.0032,9.01e-05,9.01e-05,9.01e-05
7,240.907,1.50738,0.9661,0.00314,0.69965,0.70629,0.75081,0.52471,1.16468,0.91105,0.00321,8.812e-05,8.812e-05,8.812e-05
8,274.4,1.50308,0.96349,0.00312,0.68947,0.72004,0.7549,0.52548,1.17076,0.91454,0.00321,8.614e-05,8.614e-05,8.614e-05
9,307.949,1.49278,0.96728,0.00314,0.70987,0.71142,0.7598,0.53279,1.15982,0.89864,0.00317,8.416e-05,8.416e-05,8.416e-05
10,341.701,1.50433,0.9599,0.00313,0.69862,0.71801,0.75503,0.52958,1.16798,0.89964,0.00319,8.218e-05,8.218e-05,8.218e-05
11,375.371,1.50102,0.95127,0.0031,0.71141,0.71919,0.76551,0.53578,1.16292,0.89128,0.00317,8.02e-05,8.02e-05,8.02e-05
12,408.91,1.49323,0.9555,0.00311,0.71146,0.70824,0.7622,0.53395,1.16079,0.89221,0.00318,7.822e-05,7.822e-05,7.822e-05
13,442.513,1.48734,0.94587,0.00309,0.68994,0.71233,0.744,0.52143,1.15783,0.91986,0.00315,7.624e-05,7.624e-05,7.624e-05
14,475.893,1.49223,0.94694,0.0031,0.69661,0.71224,0.75075,0.52531,1.16711,0.9203,0.00317,7.426e-05,7.426e-05,7.426e-05
15,509.462,1.48554,0.94006,0.00305,0.69515,0.71558,0.75043,0.52351,1.16502,0.92498,0.0032,7.228e-05,7.228e-05,7.228e-05
16,542.945,1.49463,0.94742,0.00306,0.70091,0.715,0.75279,0.52719,1.16194,0.91888,0.0032,7.03e-05,7.03e-05,7.03e-05
17,577.285,1.47301,0.93584,0.00306,0.70895,0.71853,0.76124,0.53056,1.17309,0.89776,0.00321,6.832e-05,6.832e-05,6.832e-05
18,611.953,1.48132,0.93638,0.00304,0.70571,0.71298,0.75779,0.53002,1.16247,0.90253,0.00319,6.634e-05,6.634e-05,6.634e-05
19,645.47,1.47546,0.92829,0.00304,0.7074,0.7145,0.75706,0.5299,1.16153,0.89708,0.00317,6.436e-05,6.436e-05,6.436e-05
20,679.067,1.46118,0.9132,0.00299,0.71003,0.71822,0.76109,0.53307,1.1638,0.89538,0.0032,6.238e-05,6.238e-05,6.238e-05
21,712.721,1.46914,0.92401,0.00302,0.71301,0.71666,0.75716,0.53022,1.15904,0.90506,0.0032,6.04e-05,6.04e-05,6.04e-05
