epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,58.3705,1.83251,2.0775,0.00381,0.47831,0.59496,0.57026,0.35766,1.42501,1.47257,0.00439,0.00055483,0.00055483,0.00055483
2,114.878,1.74048,1.38303,0.00357,0.56093,0.62433,0.62451,0.38887,1.40231,1.36563,0.00471,0.0010995,0.0010995,0.0010995
3,171.579,1.72732,1.33264,0.00361,0.5978,0.64848,0.63861,0.4112,1.38059,1.18459,0.00441,0.00163317,0.00163317,0.00163317
4,228.781,1.6943,1.28159,0.00349,0.587,0.6353,0.6302,0.40914,1.36659,1.2367,0.00427,0.00161749,0.00161749,0.00161749
5,284.075,1.68802,1.23768,0.00333,0.61496,0.64064,0.63087,0.41038,1.34709,1.18532,0.00424,0.00160099,0.00160099,0.00160099
6,337.803,1.65306,1.21126,0.00334,0.61611,0.6456,0.66401,0.43784,1.33046,1.22119,0.00407,0.00158448,0.00158448,0.00158448
7,392.962,1.62767,1.17474,0.00327,0.63821,0.66608,0.67224,0.44015,1.32193,1.25517,0.0041,0.00156798,0.00156798,0.00156798
8,450.328,1.63174,1.15282,0.00315,0.58923,0.65393,0.64524,0.42674,1.33672,1.32596,0.00417,0.00155148,0.00155148,0.00155148
9,507.008,1.61107,1.1299,0.00317,0.61217,0.64303,0.64443,0.42768,1.29826,1.17044,0.00401,0.00153497,0.00153497,0.00153497
10,563.345,1.61145,1.14015,0.00318,0.60985,0.66491,0.67268,0.44849,1.28744,1.2592,0.00395,0.00151847,0.00151847,0.00151847
11,619.878,1.60489,1.11536,0.00303,0.64589,0.68143,0.69799,0.46206,1.29503,1.1539,0.00407,0.00150197,0.00150197,0.00150197
12,676.734,1.59228,1.11024,0.00306,0.64434,0.68211,0.69842,0.46298,1.28544,1.144,0.00397,0.00148546,0.00148546,0.00148546
13,733.134,1.57594,1.08763,0.00306,0.66472,0.69788,0.72088,0.48433,1.27389,1.06071,0.00382,0.00146896,0.00146896,0.00146896
14,789.49,1.56707,1.07509,0.00304,0.66668,0.68695,0.71222,0.4788,1.2574,1.06969,0.0038,0.00145246,0.00145246,0.00145246
15,845.432,1.56935,1.06909,0.00297,0.66301,0.69359,0.72395,0.48933,1.2576,1.03175,0.00377,0.00143595,0.00143595,0.00143595
16,900.834,1.54525,1.05364,0.00299,0.63323,0.66256,0.67396,0.45384,1.27002,1.08649,0.00383,0.00141945,0.00141945,0.00141945
17,955.233,1.55056,1.04445,0.00296,0.65156,0.6784,0.70357,0.4755,1.25578,1.07697,0.00375,0.00140295,0.00140295,0.00140295
18,1009.5,1.54728,1.0315,0.00299,0.66357,0.68471,0.69934,0.4747,1.25046,1.04043,0.00371,0.00138644,0.00138644,0.00138644
19,1062.54,1.53826,1.02092,0.00294,0.65012,0.68375,0.69752,0.47507,1.23317,1.10069,0.00359,0.00136994,0.00136994,0.00136994
20,1116.78,1.53252,1.01795,0.00291,0.65142,0.68675,0.71315,0.48543,1.24514,1.10028,0.00368,0.00135344,0.00135344,0.00135344
