epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5069,0.57047,0.47359,0.0029,0.69538,0.71734,0.75868,0.52326,1.20886,0.96291,0.00347,3.30065e-05,3.30065e-05,3.30065e-05
2,25.121,0.57079,0.36673,0.00286,0.67797,0.70232,0.75269,0.5239,1.19807,0.93344,0.0034,6.50263e-05,6.50263e-05,6.50263e-05
3,36.1494,0.55304,0.32498,0.00278,0.68783,0.67358,0.73935,0.51748,1.18883,0.9792,0.00336,9.57261e-05,9.57261e-05,9.57261e-05
4,47.6922,0.54498,0.28632,0.00268,0.66593,0.66167,0.72578,0.511,1.18751,1.03869,0.00336,9.406e-05,9.406e-05,9.406e-05
5,59.1538,0.53866,0.27952,0.00269,0.66436,0.64019,0.71382,0.50531,1.18005,1.08601,0.00337,9.208e-05,9.208e-05,9.208e-05
6,70.1246,0.53249,0.28065,0.00265,0.65211,0.63543,0.7034,0.49999,1.17497,1.12111,0.00334,9.01e-05,9.01e-05,9.01e-05
7,81.4187,0.5276,0.26826,0.00263,0.63913,0.63325,0.69806,0.4968,1.17708,1.15357,0.00335,8.812e-05,8.812e-05,8.812e-05
8,92.6035,0.52863,0.25846,0.00262,0.63543,0.62699,0.69451,0.4933,1.17937,1.17539,0.00334,8.614e-05,8.614e-05,8.614e-05
9,103.639,0.52024,0.25513,0.00253,0.63532,0.62521,0.69101,0.49285,1.17799,1.21743,0.00334,8.416e-05,8.416e-05,8.416e-05
10,114.678,0.52533,0.25058,0.00259,0.6486,0.61532,0.68964,0.49138,1.1797,1.23898,0.00333,8.218e-05,8.218e-05,8.218e-05
11,125.682,0.51085,0.24962,0.00248,0.65704,0.60886,0.68669,0.49126,1.18117,1.26473,0.00334,8.02e-05,8.02e-05,8.02e-05
12,136.663,0.51048,0.25329,0.00251,0.64665,0.60852,0.68211,0.48865,1.17976,1.31132,0.00334,7.822e-05,7.822e-05,7.822e-05
